App_ID,App_Name,Source_Language,SLOC,Usage_Frequency,Business_Owner,Last_Modified_Date,Dependencies,Data_Volume_GB,Critical_Business_Function,DB2_Objects,Network_Calls,Batch_Jobs
WMS001,Warehouse_Management_Core,RPG_IV,145000,daily,Operations_VP_Martinez,2023-11-15,"INV002,POS003,SHIP004",2800,Y,"WHITEM,WHLOC,WHXFER,WHADJ",12,45
INV002,Inventory_Control_System,COBOL_400,98000,daily,Supply_Chain_Dir_Chen,2024-01-22,"WMS001,POS003,PURCH005",1850,Y,"INVMAST,INVTRAN,INVBAL,INVAUDIT",8,32
POS003,Point_of_Sale_Transaction,RPG_IV,67000,daily,Retail_Ops_Mgr_Johnson,2024-03-10,"INV002,MEMBER006,PAYMENT007",4200,Y,"POSSALE,POSITEM,POSTENDR,POSTAX",45,78
SHIP004,Shipping_Logistics,CL,23000,daily,Logistics_Coord_Park,2023-09-08,"WMS001,CARRIER008",620,Y,"SHIPHEAD,SHIPLINE,SHIPTRACK",5,18
PURCH005,Purchase_Order_Processing,RPG_III,112000,daily,Procurement_Dir_Smith,2022-12-05,"INV002,VENDOR009",890,Y,"POHEAD,POLINE,PORECV,POAPPRV",6,25
MEMBER006,Membership_Management,COBOL_400,54000,daily,Member_Svcs_Mgr_Lopez,2024-02-18,"POS003,PAYMENT007",1200,Y,"MBRMAST,MBRADDR,MBRHIST,MBRRENEW",3,12
PAYMENT007,Payment_Processing_Gateway,RPG_IV,78000,daily,Finance_Dir_Kim,2024-04-05,"POS003,MEMBER006,ACCT010",950,Y,"PYMTRAN,PYMAUTH,PYMBATCH,PYMRECON",22,56
CARRIER008,Carrier_Integration_Hub,CL,18000,daily,Logistics_Coord_Park,2023-10-12,"SHIP004",180,N,"CARRMAP,CARRRATE,CARRTRACK",15,8
VENDOR009,Vendor_Master_Data,RPG_III,42000,weekly,Procurement_Dir_Smith,2022-08-20,"PURCH005",320,N,"VENDMAST,VENDADDR,VENDTERM",2,6
ACCT010,General_Ledger_Interface,COBOL_400,89000,daily,Controller_Davis,2023-07-14,"PAYMENT007,PURCH005",1450,Y,"GLHEAD,GLLINE,GLPOST,GLRECON",4,18
RPT011,Executive_Dashboard_Batch,RPG_IV,34000,daily,Finance_Dir_Kim,2024-01-08,"INV002,POS003,WMS001",125,N,"RPTTEMP,RPTARCH",0,8
TAX012,Sales_Tax_Calculation,COBOL_400,28000,daily,Tax_Mgr_White,2023-12-03,"POS003",95,Y,"TAXRATE,TAXJURIS,TAXEXCEPT",1,4
PRICE013,Price_Management_System,RPG_IV,71000,daily,Merch_Dir_Thompson,2024-02-25,"INV002,POS003",680,Y,"PRCMAST,PRCPROMO,PRCOVERRIDE",7,15
LABEL014,Warehouse_Label_Print,CL,12000,daily,Operations_VP_Martinez,2022-11-18,"WMS001",45,N,"LBLQUEUE,LBLHIST",3,22
RECALL015,Product_Recall_Tracking,RPG_III,19000,monthly,Quality_Mgr_Anderson,2023-05-22,"INV002,MEMBER006",180,Y,"RECALLMAST,RECALLITEM,RECALLNOTIF",2,5
RETURNS016,Return_Authorization,COBOL_400,46000,daily,Customer_Svc_Dir_Brown,2024-03-15,"POS003,INV002",520,N,"RETHEAD,RETLINE,RETREFUND",6,12
FORECAST017,Demand_Forecasting_Batch,RPG_IV,58000,weekly,Supply_Chain_Dir_Chen,2023-08-10,"INV002,POS003",340,N,"FCSTMODEL,FCSTRESULT,FCSTHIST",0,12
SECURITY018,Access_Control_System,CL,15000,daily,IT_Security_Moore,2024-01-30,"*ALL*",85,Y,"USRPROF,USRAUTH,USRAUDIT",8,0
PAYROLL019,Employee_Payroll_Processing,COBOL_400,103000,weekly,HR_Dir_Garcia,2021-06-12,"ACCT010",450,Y,"PYEMPL,PYRATE,PYTIME,PYCHECK",3,8
TIMECLK020,Time_Clock_Integration,RPG_III,22000,daily,HR_Dir_Garcia,2022-03-25,"PAYROLL019",120,N,"TIMEPUNCH,TIMEEXCEPT",18,4
LOYALTY021,Rewards_Program_Engine,RPG_IV,64000,daily,Marketing_Dir_Wilson,2024-04-12,"MEMBER006,POS003",780,Y,"LOYALPTS,LOYALREWD,LOYALHIST",5,18
AUDIT022,Compliance_Audit_Trail,COBOL_400,31000,daily,Compliance_Off_Taylor,2023-11-28,"*ALL*",1650,Y,"AUDLOG,AUDARCH",0,6
BACKUP023,Nightly_Backup_Orchestrator,CL,8000,daily,IT_Ops_Mgr_Martin,2024-02-08,"*ALL*",0,Y,"BKPCTL,BKPLOG",2,12
EDI024,Electronic_Data_Interchange,RPG_IV,52000,daily,Supply_Chain_Dir_Chen,2023-09-30,"PURCH005,SHIP004",280,Y,"EDIIN,EDIOUT,EDITRAN,EDIMAP",28,15
ALLOCATION025,Warehouse_Allocation_Engine,COBOL_400,76000,daily,Operations_VP_Martinez,2024-01-18,"WMS001,INV002",950,Y,"ALLOCRULE,ALLOCEXEC,ALLOCHIST",4,22